Text,快樂,難過,害怕,憤怒,愛,驚喜,備註
i didnt feel humiliated,,,,,,,表達沒有感到羞辱
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,1,1,,,1,,因為有人關心而從絕望變得充滿希望
im grabbing a minute to post i feel greedy wrong,,,,,,,感到貪婪和不對
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,,1,,,,,懷舊的情緒
i am feeling grouchy,,,,1,,,感到脾氣暴躁
ive been feeling a little burdened lately wasnt sure why that was,,1,,,,,感到有點負擔，不確定原因
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,1,,,,,,服用過量藥物後感到有趣
i feel as confused about life as a teenager or as jaded as a year old man,,1,,,,,對生活感到困惑或厭世
i have been with petronas for years i feel that petronas has performed well and made a huge profit,1,,,,,,對公司的表現感到滿意
i feel romantic too,,,,,1,,感到浪漫
i feel like i have to make the suffering i m seeing mean something,,1,,,,,表達了對所見苦難的感受，並希望賦予其意義，整體情緒偏向負面。
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,1,,,,1,,跑步帶來神聖體驗，期待與靈性相遇，整體情緒積極，帶有愛和快樂的感受。
i think it s the easiest time of year to feel dissatisfied,,1,,,,,一年中最容易感到不滿意的時間，整體情緒偏向負面。
i feel low energy i m just thirsty,,1,,,,,感到精力低下，僅僅是口渴，反映了身體上的不適和低落的情緒。
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,,1,,,,,對普遍觀點表示同情，但對自身作為潛在作家，在生活間隙尋找時間寫作的困境感到無奈，整體情緒複雜，帶有沮喪和自我懷疑。
i do not feel reassured anxiety is on each side,,,1,,,,感到焦慮，缺乏安全感，主要情緒是害怕。
i didnt really feel that embarrassed,,,,,,,沒有感到尷尬，情緒平淡。
i feel pretty pathetic most of the time,,1,,,,,大部分時間感到可悲，整體情緒負面。
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,1,,,,1,,對童年玩偶產生懷舊情感，開始收藏古董芭比娃娃，整體情緒積極，帶有懷舊和喜愛。
i now feel compromised and skeptical of the value of every unit of work i put in,,1,,,,,對自己的工作價值產生懷疑，整體情緒負面，感到妥協和懷疑。
i feel irritated and rejected without anyone doing anything or saying anything,,1,,1,,,感到煩躁和被拒絕，沒有任何人做任何事或說任何話。
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,1,1,,,,,感到完全不知所措，並使用寫日記和感恩清單來穩定情緒。
i have the feeling she was amused and delighted,1,,,,,1,感覺她覺得有趣和高興。
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,1,,,,,,能夠在你的支持和鼓勵下幫助 Chai Lifeline 是一種很棒的感覺，我很高興你能幫助我。
i already feel like i fucked up though because i dont usually eat at all in the morning,,1,,,,,我覺得我搞砸了，因為我通常早上根本不吃東西。
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,1,1,,1,1,,仍然愛我的 SO，並祝他一切順利。我再也無法忍受 BM 對我們生活的影響，以及它已將我的 SO 變成一個痛苦的、憤怒的人，當他感到壓力時，他並不總是特別友善對待周圍的人。
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,,,1,,,,在別人的廚房裡感到很拘謹，就像在別人的畫上作畫。
i become overwhelmed and feel defeated,,1,,,,,感到不知所措和被打敗。
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,,,,1,,,感覺有點震驚，她覺得需要廣泛地解釋她的身體尺寸等等。
i feel more superior dead chicken or grieving child,,1,1,,,,感覺死雞或悲傷的孩子更勝一籌。
i get giddy over feeling elegant in a perfectly fitted pencil skirt,1,,,,,,表達對於穿著合身窄裙感到興奮。
i remember feeling acutely distressed for a few days,,1,,,,,回憶起感到非常痛苦的幾天。
i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,1,,,,,,對一些公司印象深刻。
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,,,,1,,,因爲比賽的配速錯誤而感到沮喪。
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,,1,1,,1,,無法想像在道德上可接受的情況下，與某人建立足夠的情感聯繫以感到完全被接受和安全。
i am not sure what would make me feel content if anything,,1,,,,,不確定有什麼能讓自己感到滿足。
i have been feeling the need to be creative,,,,,,,渴望創造力。
i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,,1,,,,,如果有人讓你感到自卑，請遠離他們。
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,,1,,,,,請求長輩送禮物感到失禮和貪婪。
i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,,1,1,,1,,需要保護和安全感，感到渺小。
i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,1,,,,,,分享生活和希望激勵他人
i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,1,,,,,,享受節日氣氛，並激勵寫書
ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,1,,,,,,對自己外貌感到自信
i feel very strongly passionate about when some jerk off decides to poke and make fun of us,,,,1,1,,對嘲諷行為感到強烈憤怒
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,,1,,,,,因經濟困難感到沮喪
i was feeling listless from the need of new things something different,,1,,,,,感到百無聊賴，渴望新鮮感
i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,,1,,,,,失去特殊思維，試圖傳達感受，強調某人很特別
i can t let go of that sad feeling that i want to be accepted here in this first home of mine,,1,,,,,渴望被接納的悲傷
on a boat trip to denmark,,,,,,,前往丹麥的遊船旅行
i stopped feeling cold and began feeling hot,,,,,,,從寒冷轉為感到熱
i need to feel the dough to make sure its just perfect,,,,,,,描述為了確保麵團完美所需要的觸覺感受。
i found myself feeling a little discouraged that morning,,1,,,,,早晨感到沮喪。
i feel selfish and spoiled,,1,,,,,感覺自私和被寵壞。
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,,,1,,,,寫作時感到受阻，不確定故事走向。
i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,,1,,1,,,這段文字看起來像是一段混亂的表達，包含了哭泣、憤怒以及自我感覺良好等多種情緒的引用。
i feel you know basically like a fake in the realm of science fiction,,1,,,,,在科幻領域感覺自己是個冒牌貨。
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,,1,,1,,,因為住在父親的屋簷下而感到憤怒和不滿。
i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,1,,,,1,1,對他人的支持和適應能力感到驚喜和愉快。
i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,,,1,,,,害怕過度性行為可能導致身體崩潰。
i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,1,,,,1,,感受到母親的愛，並抽出時間照顧自己。
i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,,,,,,,描述了對某個親戚受歡迎程度的觀察和思考。
i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,1,,,,,,感受到身體內的一種溫和和療癒的感覺。
i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,,1,,1,,,感到社會對年輕、美麗和身材的壓力，以及對外貌潮流的憤怒。
i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,,1,1,,,,被幻覺折磨，感到痛苦和害怕。
i am now nearly finished the week detox and i feel amazing,1,,,,,,排毒後感覺非常好。
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,,1,,,,,反思自己過去的自私，對未能為他人祈禱感到內疚。
i know the pain parents feel when an enraged child becomes violent,,1,,1,,,理解父母在面對憤怒和暴力的孩子時的痛苦。
i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,,1,1,,,,情緒如過山車，擔憂不愉快的事情即將發生。
i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,,1,,,,,坦白自己最近缺乏信心，更多的是懷疑和不確定。
i was feeling brave when i bought it and clearly when i was doing my makeup,1,,,,,,購買某物時感到勇敢。
i am feeling miserable but c i am also the proudest mum on earth,1,1,,,1,,喜憂參半，既感到痛苦，又為孩子感到驕傲。
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,1,1,,,1,,雖然家人很愛他們，但在其他人面前，當米歇爾失控時，我感到尷尬。
i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,,,,,,,我不認為所有故事都必須要有髒話和性愛，但當我在印刷期刊上看到它們時，我感到放心。
i can feel my ovaries aching talking to me as i like to put it,,,,,,,我可以感受到我的卵巢在跟我說話。
i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,,1,,,,,我不太想做任何事，克里斯和我只是拍了太多不重要的照片。
im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,,1,,1,,,我厭倦了這本書，想要擺脫它。發現我收到了不合適的圖片，然後又因此受到指責，這讓我感到很不舒服。
